"Total passenger movements (Monthly)",""
"","Arrivals"
" ","Actual Counts"
"1921M01",4049
"1921M02",3468
"1921M03",4558
"1921M04",4259
"1921M05",2892
"1921M06",1986
"1921M07",3419
"1921M08",3044
"1921M09",2759
"1921M10",4088
"1921M11",2973
"1921M12",4387
"1922M01",3910
"1922M02",4299
"1922M03",3112
"1922M04",3113
"1922M05",2652
"1922M06",1982
"1922M07",1642
"1922M08",2244
"1922M09",2906
"1922M10",3495
"1922M11",2219
"1922M12",3659
"1923M01",4908
"1923M02",2899
"1923M03",2383
"1923M04",2125
"1923M05",2773
"1923M06",1918
"1923M07",2087
"1923M08",2586
"1923M09",2146
"1923M10",4631
"1923M11",3055
"1923M12",4942
"1924M01",3426
"1924M02",4136
"1924M03",2383
"1924M04",2893
"1924M05",2434
"1924M06",2373
"1924M07",2501
"1924M08",2268
"1924M09",3345
"1924M10",3326
"1924M11",4786
"1924M12",5844
"1925M01",4022
"1925M02",4321
"1925M03",3984
"1925M04",2895
"1925M05",2589
"1925M06",2572
"1925M07",2749
"1925M08",3287
"1925M09",3038
"1925M10",3850
"1925M11",4199
"1925M12",4268
"1926M01",4587
"1926M02",3333
"1926M03",5026
"1926M04",3073
"1926M05",4031
"1926M06",2343
"1926M07",1956
"1926M08",3902
"1926M09",3634
"1926M10",4441
"1926M11",4238
"1926M12",5051
"1927M01",5242
"1927M02",3725
"1927M03",3953
"1927M04",2289
"1927M05",3112
"1927M06",1977
"1927M07",2029
"1927M08",2230
"1927M09",2340
"1927M10",3289
"1927M11",3798
"1927M12",4461
"1928M01",4529
"1928M02",3118
"1928M03",2427
"1928M04",1867
"1928M05",2286
"1928M06",1563
"1928M07",2399
"1928M08",2469
"1928M09",2675
"1928M10",3799
"1928M11",3265
"1928M12",5027
"1929M01",4002
"1929M02",3168
"1929M03",2271
"1929M04",2236
"1929M05",1902
"1929M06",1751
"1929M07",2404
"1929M08",1862
"1929M09",2665
"1929M10",2901
"1929M11",3701
"1929M12",5558
"1930M01",3432
"1930M02",3055
"1930M03",2335
"1930M04",2383
"1930M05",2049
"1930M06",2089
"1930M07",1890
"1930M08",2149
"1930M09",2267
"1930M10",3372
"1930M11",3445
"1930M12",4016
"1931M01",2944
"1931M02",2180
"1931M03",1898
"1931M04",1193
"1931M05",1114
"1931M06",1270
"1931M07",864
"1931M08",1086
"1931M09",1544
"1931M10",1309
"1931M11",2549
"1931M12",2266
"1932M01",1915
"1932M02",1446
"1932M03",1324
"1932M04",1744
"1932M05",1257
"1932M06",870
"1932M07",856
"1932M08",1173
"1932M09",974
"1932M10",2106
"1932M11",1765
"1932M12",2409
"1933M01",2431
"1933M02",1691
"1933M03",1387
"1933M04",1133
"1933M05",1437
"1933M06",837
"1933M07",1095
"1933M08",1176
"1933M09",1209
"1933M10",1908
"1933M11",1798
"1933M12",2687
"1934M01",2810
"1934M02",1959
"1934M03",1598
"1934M04",1642
"1934M05",1124
"1934M06",930
"1934M07",1117
"1934M08",1507
"1934M09",1679
"1934M10",1962
"1934M11",3177
"1934M12",3693
"1935M01",3386
"1935M02",2670
"1935M03",1956
"1935M04",2040
"1935M05",1408
"1935M06",1142
"1935M07",1623
"1935M08",1398
"1935M09",2145
"1935M10",2312
"1935M11",2834
"1935M12",3213
"1936M01",3021
"1936M02",3397
"1936M03",2382
"1936M04",1741
"1936M05",1618
"1936M06",1363
"1936M07",1881
"1936M08",2170
"1936M09",2405
"1936M10",2856
"1936M11",3457
"1936M12",4090
"1937M01",4010
"1937M02",3139
"1937M03",2890
"1937M04",2594
"1937M05",2196
"1937M06",1633
"1937M07",2211
"1937M08",2706
"1937M09",3073
"1937M10",3296
"1937M11",4245
"1937M12",4734
"1938M01",4030
"1938M02",4327
"1938M03",3615
"1938M04",2723
"1938M05",2959
"1938M06",1972
"1938M07",2728
"1938M08",2964
"1938M09",2652
"1938M10",4123
"1938M11",4265
"1938M12",4547
"1939M01",5678
"1939M02",4112
"1939M03",3852
"1939M04",3485
"1939M05",3174
"1939M06",2579
"1939M07",2477
"1939M08",3136
"1939M09",3291
"1939M10",3164
"1939M11",2357
"1939M12",2176
"1940M01",2279
"1940M02",1841
"1940M03",1389
"1940M04",1474
"1940M05",1266
"1940M06",961
"1940M07",1294
"1940M08",982
"1940M09",1399
"1940M10",1292
"1940M11",1140
"1940M12",1066
"1941M01",1334
"1941M02",812
"1941M03",735
"1941M04",777
"1941M05",837
"1941M06",459
"1941M07",637
"1941M08",461
"1941M09",511
"1941M10",956
"1941M11",621
"1941M12",734
"1942M01",357
"1942M02",301
"1942M03",451
"1942M04",124
"1942M05",301
"1942M06",282
"1942M07",278
"1942M08",186
"1942M09",237
"1942M10",212
"1942M11",244
"1942M12",340
"1943M01",185
"1943M02",427
"1943M03",317
"1943M04",218
"1943M05",244
"1943M06",240
"1943M07",201
"1943M08",232
"1943M09",184
"1943M10",292
"1943M11",410
"1943M12",426
"1944M01",467
"1944M02",288
"1944M03",545
"1944M04",447
"1944M05",418
"1944M06",386
"1944M07",437
"1944M08",274
"1944M09",606
"1944M10",1263
"1944M11",494
"1944M12",966
"1945M01",450
"1945M02",655
"1945M03",811
"1945M04",668
"1945M05",511
"1945M06",490
"1945M07",721
"1945M08",441
"1945M09",1227
"1945M10",939
"1945M11",1312
"1945M12",643
"1946M01",2067
"1946M02",2844
"1946M03",1446
"1946M04",2152
"1946M05",1619
"1946M06",951
"1946M07",1420
"1946M08",2831
"1946M09",1472
"1946M10",2084
"1946M11",1868
"1946M12",3799
"1947M01",2406
"1947M02",1819
"1947M03",2825
"1947M04",2269
"1947M05",2136
"1947M06",2607
"1947M07",2460
"1947M08",2288
"1947M09",2406
"1947M10",2624
"1947M11",3009
"1947M12",3328
"1948M01",3324
"1948M02",4304
"1948M03",2358
"1948M04",2419
"1948M05",2662
"1948M06",2052
"1948M07",2651
"1948M08",2262
"1948M09",1405
"1948M10",3111
"1948M11",3077
"1948M12",3606
"1949M01",4963
"1949M02",3828
"1949M03",3910
"1949M04",3391
"1949M05",4030
"1949M06",4142
"1949M07",2682
"1949M08",3692
"1949M09",4166
"1949M10",4022
"1949M11",4739
"1949M12",3750
"1950M01",6435
"1950M02",5731
"1950M03",4100
"1950M04",3290
"1950M05",4983
"1950M06",3642
"1950M07",3649
"1950M08",3419
"1950M09",4339
"1950M10",5640
"1950M11",5307
"1950M12",4885
"1951M01",6453
"1951M02",4582
"1951M03",4455
"1951M04",4141
"1951M05",4328
"1951M06",3952
"1951M07",2751
"1951M08",5550
"1951M09",6020
"1951M10",5606
"1951M11",4588
"1951M12",6204
"1952M01",6235
"1952M02",6995
"1952M03",6128
"1952M04",4642
"1952M05",5281
"1952M06",5176
"1952M07",4216
"1952M08",4694
"1952M09",6008
"1952M10",5139
"1952M11",6115
"1952M12",6627
"1953M01",6810
"1953M02",6648
"1953M03",4884
"1953M04",6348
"1953M05",3995
"1953M06",4319
"1953M07",4991
"1953M08",4770
"1953M09",4741
"1953M10",5418
"1953M11",4876
"1953M12",4912
"1954M01",6349
"1954M02",6100
"1954M03",5026
"1954M04",3817
"1954M05",4972
"1954M06",3136
"1954M07",3563
"1954M08",5161
"1954M09",4533
"1954M10",5119
"1954M11",6086
"1954M12",5708
"1955M01",7936
"1955M02",5100
"1955M03",6479
"1955M04",3647
"1955M05",5886
"1955M06",3615
"1955M07",3509
"1955M08",4645
"1955M09",5130
"1955M10",6090
"1955M11",7343
"1955M12",6755
"1956M01",7390
"1956M02",5820
"1956M03",6642
"1956M04",6098
"1956M05",4592
"1956M06",3361
"1956M07",5609
"1956M08",4620
"1956M09",5526
"1956M10",6862
"1956M11",7269
"1956M12",10310
"1957M01",8814
"1957M02",7110
"1957M03",5884
"1957M04",6753
"1957M05",5276
"1957M06",4592
"1957M07",5627
"1957M08",6250
"1957M09",5461
"1957M10",7008
"1957M11",7932
"1957M12",8713
"1958M01",7964
"1958M02",6723
"1958M03",7367
"1958M04",7987
"1958M05",4468
"1958M06",5000
"1958M07",7057
"1958M08",5723
"1958M09",7338
"1958M10",6091
"1958M11",7943
"1958M12",8499
"1959M01",9782
"1959M02",6879
"1959M03",6881
"1959M04",6499
"1959M05",4704
"1959M06",5817
"1959M07",5955
"1959M08",6219
"1959M09",7478
"1959M10",8987
"1959M11",7997
"1959M12",9715
"1960M01",9764
"1960M02",8943
"1960M03",7299
"1960M04",6481
"1960M05",6467
"1960M06",5769
"1960M07",6578
"1960M08",7275
"1960M09",8478
"1960M10",10464
"1960M11",9988
"1960M12",11794
"1961M01",13872
"1961M02",9849
"1961M03",9223
"1961M04",7985
"1961M05",8630
"1961M06",7406
"1961M07",8878
"1961M08",10312
"1961M09",11737
"1961M10",13113
"1961M11",12209
"1961M12",14033
"1962M01",16076
"1962M02",12669
"1962M03",9608
"1962M04",9018
"1962M05",10344
"1962M06",7963
"1962M07",8693
"1962M08",8822
"1962M09",11188
"1962M10",14163
"1962M11",15720
"1962M12",16335
"1963M01",17565
"1963M02",12807
"1963M03",11254
"1963M04",11049
"1963M05",9353
"1963M06",9572
"1963M07",9009
"1963M08",11113
"1963M09",14273
"1963M10",15166
"1963M11",15929
"1963M12",19063
"1964M01",20039
"1964M02",15533
"1964M03",14547
"1964M04",11718
"1964M05",12861
"1964M06",10679
"1964M07",10303
"1964M08",11897
"1964M09",18000
"1964M10",16580
"1964M11",19207
"1964M12",19447
"1965M01",24217
"1965M02",19731
"1965M03",15651
"1965M04",14496
"1965M05",14389
"1965M06",12073
"1965M07",11933
"1965M08",15169
"1965M09",19447
"1965M10",20841
"1965M11",20514
"1965M12",24416
"1966M01",27722
"1966M02",20756
"1966M03",18183
"1966M04",16252
"1966M05",19207
"1966M06",12535
"1966M07",13856
"1966M08",20584
"1966M09",19847
"1966M10",24463
"1966M11",21124
"1966M12",25142
"1967M01",34036
"1967M02",22030
"1967M03",21330
"1967M04",19605
"1967M05",19817
"1967M06",15918
"1967M07",18137
"1967M08",18223
"1967M09",21982
"1967M10",21393
"1967M11",21640
"1967M12",26939
"1968M01",31821
"1968M02",22973
"1968M03",20933
"1968M04",16158
"1968M05",18042
"1968M06",15108
"1968M07",14890
"1968M08",19222
"1968M09",20595
"1968M10",21178
"1968M11",21441
"1968M12",32000
"1969M01",29602
"1969M02",24191
"1969M03",23309
"1969M04",17906
"1969M05",20790
"1969M06",16213
"1969M07",18010
"1969M08",21007
"1969M09",24476
"1969M10",23415
"1969M11",26525
"1969M12",35631
"1970M01",35748
"1970M02",27058
"1970M03",26626
"1970M04",22500
"1970M05",23851
"1970M06",19538
"1970M07",22067
"1970M08",26527
"1970M09",28983
"1970M10",30167
"1970M11",30660
"1970M12",40691
"1971M01",41459
"1971M02",34228
"1971M03",31625
"1971M04",25164
"1971M05",32260
"1971M06",20981
"1971M07",25182
"1971M08",29388
"1971M09",32742
"1971M10",35062
"1971M11",35960
"1971M12",47940
"1972M01",49293
"1972M02",37213
"1972M03",37096
"1972M04",29655
"1972M05",31662
"1972M06",25543
"1972M07",30887
"1972M08",34654
"1972M09",37018
"1972M10",41623
"1972M11",39126
"1972M12",56037
"1973M01",55497
"1973M02",43657
"1973M03",44023
"1973M04",37977
"1973M05",40683
"1973M06",32030
"1973M07",39523
"1973M08",46602
"1973M09",48534
"1973M10",47778
"1973M11",50628
"1973M12",72527
"1974M01",76290
"1974M02",52088
"1974M03",53439
"1974M04",46559
"1974M05",50696
"1974M06",37906
"1974M07",42858
"1974M08",53952
"1974M09",59427
"1974M10",56178
"1974M11",56042
"1974M12",78293
"1975M01",85407
"1975M02",55248
"1975M03",56089
"1975M04",47860
"1975M05",50918
"1975M06",36494
"1975M07",41184
"1975M08",55158
"1975M09",56020
"1975M10",57096
"1975M11",57692
"1975M12",78834
"1976M01",85584
"1976M02",57656
"1976M03",54168
"1976M04",44390
"1976M05",51386
"1976M06",31808
"1976M07",41252
"1976M08",56380
"1976M09",57160
"1976M10",58084
"1976M11",56024
"1976M12",77340
"1977M01",88376
"1977M02",52688
"1977M03",52336
"1977M04",48444
"1977M05",47352
"1977M06",39180
"1977M07",49992
"1977M08",60968
"1977M09",60192
"1977M10",59852
"1977M11",60348
"1977M12",81616
"1978M01",91032
"1978M02",59804
"1978M03",57000
"1978M04",50208
"1978M05",53212
"1978M06",40452
"1978M07",51964
"1978M08",68096
"1978M09",71888
"1978M10",71584
"1978M11",68792
"1978M12",94384
"1979M01",105544
"1979M02",65440
"1979M03",64312
"1979M04",57528
"1979M05",65324
"1979M06",50216
"1979M07",69551
"1979M08",85854
"1979M09",81372
"1979M10",78309
"1979M11",79418
"1979M12",99280
"1980M01",108099
"1980M02",76858
"1980M03",74130
"1980M04",62767
"1980M05",68689
"1980M06",66859
"1980M07",84683
"1980M08",90030
"1980M09",85128
"1980M10",82877
"1980M11",82093
"1980M12",99881
"1981M01",104871
"1981M02",70063
"1981M03",72486
"1981M04",63485
"1981M05",72669
"1981M06",65963
"1981M07",80783
"1981M08",84271
"1981M09",83369
"1981M10",86069
"1981M11",77697
"1981M12",96379
"1982M01",99888
"1982M02",69507
"1982M03",66207
"1982M04",64040
"1982M05",65632
"1982M06",57130
"1982M07",75498
"1982M08",79180
"1982M09",79273
"1982M10",84913
"1982M11",76654
"1982M12",96335
"1983M01",98317
"1983M02",70069
"1983M03",68422
"1983M04",61195
"1983M05",62664
"1983M06",55390
"1983M07",77027
"1983M08",77824
"1983M09",79283
"1983M10",84166
"1983M11",79947
"1983M12",100571
"1984M01",97768
"1984M02",73517
"1984M03",73516
"1984M04",72783
"1984M05",77304
"1984M06",63263
"1984M07",78697
"1984M08",86995
"1984M09",82568
"1984M10",85786
"1984M11",87126
"1984M12",107614
"1985M01",101751
"1985M02",85599
"1985M03",87726
"1985M04",75472
"1985M05",75023
"1985M06",71729
"1985M07",77060
"1985M08",88430
"1985M09",90565
"1985M10",94812
"1985M11",107200
"1985M12",123345
"1986M01",117410
"1986M02",97420
"1986M03",93460
"1986M04",87088
"1986M05",85958
"1986M06",78621
"1986M07",94827
